epoch,accuracy,loss,val_accuracy,val_loss
0,0.4895833432674408,1.4854462146759033,0.6640625,1.090443730354309
1,0.7986111044883728,0.7513384222984314,0.796875,0.7649540901184082
2,0.8645833134651184,0.5513548254966736,0.8125,0.8477861285209656
3,0.9244791865348816,0.37568753957748413,0.8515625,0.6218157410621643
4,0.9453125,0.29702475666999817,0.90625,0.48201262950897217
5,0.9626736044883728,0.2433604598045349,0.890625,0.48133111000061035
6,0.9713541865348816,0.20494066178798676,0.890625,0.491399884223938
7,0.9835069179534912,0.16680710017681122,0.90625,0.4284794330596924
8,0.9809027910232544,0.15520790219306946,0.90625,0.4291844666004181
9,0.9887152910232544,0.14196963608264923,0.921875,0.3331873416900635
10,0.9895833134651184,0.12261500954627991,0.875,0.49650368094444275
11,0.9895833134651184,0.1250477135181427,0.921875,0.30504995584487915
12,0.9913194179534912,0.12098349630832672,0.90625,0.3993653655052185
13,0.9965277910232544,0.1006222739815712,0.921875,0.27017632126808167
14,1.0,0.07988948374986649,0.9375,0.2599129378795624
15,0.9973958134651184,0.07590021938085556,0.90625,0.3434711992740631
16,0.9887152910232544,0.10045140981674194,0.8984375,0.3414058983325958
17,0.9973958134651184,0.07895779609680176,0.9453125,0.28131625056266785
18,0.9913194179534912,0.11128044128417969,0.8984375,0.4995967149734497
19,0.9861111044883728,0.12657861411571503,0.90625,0.439515084028244
20,0.9296875,0.31085407733917236,0.8125,0.684089183807373
21,0.9557291865348816,0.2167743742465973,0.8515625,0.5604621171951294
22,0.9782986044883728,0.13125969469547272,0.90625,0.31173163652420044
23,0.9956597089767456,0.08530715107917786,0.953125,0.24226677417755127
24,1.0,0.06161240115761757,0.9609375,0.23823881149291992
25,1.0,0.05651670694351196,0.9453125,0.24193380773067474
26,1.0,0.05324757099151611,0.9609375,0.23068320751190186
27,1.0,0.05078280344605446,0.9609375,0.22459805011749268
28,1.0,0.04863806441426277,0.9609375,0.23279128968715668
29,1.0,0.047379110008478165,0.9609375,0.22030484676361084
